series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
40852,Dr. Stone: Stone Wars,TV,11,0,11,2023-06-06,2023-06-06,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
223,Dragon Ball,TV,153,0,153,0000-00-00,0000-00-00,,6,,0.00,Completed,"When I startd watching Z when I wass young, I didnt watch Dragon ball and watched it much later so its kinda not my taste",0,,LOW,,0,0,1,default,0
56894,Dragon Ball Daima,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
225,Dragon Ball GT,TV,64,0,64,0000-00-00,0000-00-00,,6,,0.00,Completed,"when I saw character design for SS4, I was very disappointed and thought saiyans were evolving to monkeys again, though its not that big of a problem I enjoyed the last parts of the story but it felt kinda eh due to many reasons",0,,LOW,,0,0,1,default,0
6033,Dragon Ball Kai,TV,97,0,97,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
30694,Dragon Ball Super,TV,131,0,131,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36946,Dragon Ball Super: Broly,Movie,1,0,1,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
48903,Dragon Ball Super: Super Hero,Movie,1,0,1,0000-00-00,2022-07-10,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
813,Dragon Ball Z,TV,291,0,291,0000-00-00,0000-00-00,,7,,0.00,Completed,"The first anime that I watched and I really enjoyed it back then but now ehhh, I'd say DB is *fine*",0,,LOW,,0,0,1,default,0
14837,Dragon Ball Z Movie 14: Kami to Kami,Movie,1,0,1,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
9330,Dragon Crisis!,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
52701,Dungeon Meshi,TV,24,0,2,2024-01-06,0000-00-00,,0,,0.00,On-Hold,,0,,LOW,",malSync::eyJ1IjoiaHR0cHM6Ly9hbml3YXRjaC50by9kZWxpY2lvdXMtaW4tZHVuZ2Vvbi0xODUwNiIsInAiOiIifQ==::",0,0,1,default,0
28121,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,TV,13,0,13,2022-10-06,2022-10-06,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37347,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,TV,12,0,12,2022-10-07,2022-10-07,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40453,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA,OVA,1,0,1,2022-10-16,2022-10-16,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40064,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II: Past & Future,TV Special,1,0,1,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40454,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,TV,12,0,12,2022-10-08,2022-10-08,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
44983,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III OVA,OVA,1,0,1,2022-10-16,2022-10-16,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
52357,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV Episode 0,TV Special,1,0,1,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
47164,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,TV,11,0,11,2022-10-10,2022-10-11,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
53111,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,TV,11,0,11,2023-01-05,2023-03-17,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32801,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,OVA,1,0,1,2023-08-03,2023-08-03,,5,,0.00,Completed,,0,,LOW,",malSync::eyJ1IjoiaHR0cHM6Ly9hbml3YXRjaC50by93YXRjaC9pcy1pdC13cm9uZy10by10cnktdG8tcGljay11cC1naXJscy1pbi1hLWR1bmdlb24taXMtaXQtd3JvbmctdG8tZXhwZWN0LWEtaG90LXNwcmluZy1pbi1hLWR1bmdlb24tMzE1MiIsInAiOiIifQ==::",0,0,1,default,0
57066,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka V: Houjou no Megami-hen,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
6746,Durarara!!,TV,24,0,24,2023-09-03,2023-09-21,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
27833,Durarara!!x2 Ketsu,TV,12,0,12,2024-01-01,2024-01-02,,0,,0.00,Completed,,0,,LOW,malSync::eyJ1IjoiaHR0cHM6Ly9hbml3YXRjaC50by9kdXJhcmFyYS14Mi1rZXRzdS0zODgiLCJwIjoiIn0=::,0,0,1,default,0
23199,Durarara!!x2 Shou,TV,12,0,12,2023-10-08,2023-12-30,,0,,0.00,Completed,,0,,LOW,malSync::eyJ1IjoiaHR0cHM6Ly9hbml3YXRjaC50by9kdXJhcmFyYS14Mi1zaG91LTQ3OCIsInAiOiIifQ==::,0,0,1,default,0
27831,Durarara!!x2 Ten,TV,12,0,12,2023-12-31,2024-01-01,,0,,0.00,Completed,,0,,LOW,malSync::eyJ1IjoiaHR0cHM6Ly9hbml3YXRjaC50by9kdXJhcmFyYS14Mi10ZW4tNDg0IiwicCI6IiJ9::,0,0,1,default,0
50481,"Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi♀",TV,12,0,12,2023-01-17,2023-03-29,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
226,Elfen Lied,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
38671,Enen no Shouboutai,TV,24,0,24,2023-05-18,2023-05-26,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40956,Enen no Shouboutai: Ni no Shou,TV,24,0,24,2024-05-11,2024-05-19,,0,,0.00,Completed,,0,,LOW,,0,0,1,default,0
51818,Enen no Shouboutai: San no Shou,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
51417,Engage Kiss,TV,13,0,13,2022-07-10,2022-09-25,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32901,Eromanga-sensei,TV,12,0,0,2022-11-10,0000-00-00,,6,,0.00,On-Hold,,0,,LOW,,0,0,1,default,0
51293,Eternal Boys,TV,24,0,11,2022-10-26,0000-00-00,,4,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
54796,Eternal Boys Next Stage,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
2759,Evangelion Movie 1: Jo,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
48997,Fantasy Bishoujo Juniku Ojisan to,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
34662,Fate/Apocrypha,TV,25,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
33047,Fate/Extra: Last Encore,TV,10,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
37651,Fate/Extra: Last Encore - Illustrias Tendousetsu,TV,3,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
